rank,title,artist,year,preview_url
99,Lonely Weekends,Charlie Rich,1960,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/a8/a9/43/a8a94369-2206-20e0-8d0c-24869284cd14/mzaf_11840791570415788978.plus.aac.p.m4a
100,Sandy,Larry Hall,1960,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/95/16/d6/9516d6b9-36ef-cabe-9730-c36356cf0f5b/mzaf_10416728121472923710.plus.aac.p.m4a
1,Tossin' and Turnin',Bobby Lewis,1961,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/41/89/02/4189029c-9f50-dcd4-699b-959c2370a84e/mzaf_3763735736447450417.plus.aac.p.m4a
2,I Fall to Pieces,Patsy Cline,1961,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/61/11/e9/6111e9ca-77dc-bce7-042a-32bdc0e5b2ca/mzaf_3354136222272921640.plus.aac.p.m4a
3,Michael,The Highwaymen,1961,https://audio-ssl.itunes.apple.com/itunes-assets/Music/c0/a3/4a/mzm.xmdahqbs.aac.p.m4a
4,Crying,Roy Orbison,1961,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/de/90/f8/de90f887-7733-29bf-80a2-a68e02febe88/mzaf_17419987092641218810.plus.aac.p.m4a
5,Runaway,Del Shannon,1961,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/32/e5/6d/32e56d0c-617a-d7ec-d181-46486c0b177f/mzaf_17975838868445177214.plus.aac.p.m4a
6,My True Story,The Jive Five,1961,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/d9/ab/ff/d9abff15-da12-aec9-6039-c41a7de8441d/mzaf_17979221003833135053.plus.aac.p.m4a
7,Pony Time,Chubby Checker,1961,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/2a/19/c1/2a19c199-ef09-c271-d9f3-6a175bc9f56d/mzaf_15813083572908245353.plus.aac.p.m4a
8,Wheels,The String-A-Longs,1961,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/46/63/78/46637814-186d-6988-7fc9-aa6a3b9ad8b5/mzaf_4991873746623232995.plus.aac.p.m4a
9,Raindrops,Dee Clark,1961,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/70/fd/15/70fd15f7-ec23-112d-6b7e-0e3f50fd2f1a/mzaf_13717578817417625818.plus.aac.p.m4a
10,Wooden Heart,Joe Dowell,1961,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/64/5e/4d/645e4db4-1fdc-a0b4-4553-9032c0ed1004/mzaf_14221528077421965770.plus.aac.p.m4a
11,Calcutta,Lawrence Welk,1961,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview60/v4/88/61/1b/88611bcb-0eda-351a-77ae-fa4256a5e833/mzaf_5044162019482094212.plus.aac.p.m4a
12,Take Good Care of My Baby,Bobby Vee,1961,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview211/v4/a1/3e/81/a13e81a5-7eba-e373-a146-a0cd7b3e65d3/mzaf_5414748171628219848.plus.aac.p.m4a
13,Running Scared,Roy Orbison,1961,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/0c/9a/be/0c9abe9f-f54b-7759-a0cd-879681b5f301/mzaf_10593426351493767244.plus.aac.p.m4a
14,Dedicated to the One I Love,The Shirelles,1961,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/5c/9e/c5/5c9ec5aa-10ee-ae26-1c05-3b6ed8014e59/mzaf_4522814692559977251.plus.aac.p.m4a
15,Last Night,The Mar-Keys,1961,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview112/v4/2c/0c/c4/2c0cc431-cd97-16dc-d2c7-ff9b04a550ce/mzaf_12169483362359394058.plus.aac.p.m4a
16,Will You Love Me Tomorrow,The Shirelles,1961,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/55/e1/7b/55e17b85-10c9-8a63-fb32-ea3c70395e2f/mzaf_17016295938735407847.plus.aac.p.m4a
17,Exodus,Ferrante & Teicher,1961,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/94/9c/23/949c236d-5350-78f5-42a8-b295a7e03467/mzaf_12052569217615870312.plus.aac.p.m4a
18,Where the Boys Are,Connie Francis,1961,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview126/v4/cf/9b/d0/cf9bd0fe-3dc3-4010-a1a5-32fec95af378/mzaf_14638718808456726124.plus.aac.p.m4a
19,Hit the Road Jack,Ray Charles,1961,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/58/00/1f/58001f35-b38a-0a84-fe05-81c1c66635b6/mzaf_7260303394640533666.plus.aac.p.m4a
20,Sad Movies (Make Me Cry),Sue Thompson,1961,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/38/53/c4/3853c498-c98c-c6e9-1539-bbaf8289850a/mzaf_5829062799397955525.plus.aac.p.m4a
21,Mother-in-Law,Ernie K-Doe,1961,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/c7/1a/f2/c71af26b-db73-aedc-9801-a1027c06316d/mzaf_9579900844680705812.plus.aac.p.m4a
22,Bristol Stomp,The Dovells,1961,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/69/5f/0c/695f0c5b-53ab-12cf-d656-4ce0e2b981ce/mzaf_5522013799319496158.plus.aac.p.m4a
